PVUL,Patella_vulgata
VLIE,Villosa_lienosa
BPLI,Brachionus_plicatilis
TPIS,Taenia_pisiformis
ARIC,Adineta_vaga
ETEN,Enucula_tenuis
GTOL,Gadila_tolmiei
LHYA,Laevipilina_hyalina
OVUL,Octopus_vulgaris
SVEL,Solemya_velum
HRUF,Haliotis_rufescens
PFUC,Pinctada_fucata
DMEL,Drosophila_melanogaster
SMAN,Schistosoma_mansoni
DPUL,Daphnia_pulex
LGIG,Lottia_gigantea
HROB,Helobdella_robusta
CTEL,Capitella_teleta
RPHI,Ruditapes_philippinarum
NLAP,Nucella_lapillus
SMED,Schmidtea_mediterranea
ACAL,Aplysia_californica
BNER,Bugula_neritina
PLAM,Pomatoceros_lamarckii
CHON,Cephalothrix_hongkongensis
ROLI,Rhyssoplax_olivaceus
CMAR,Cerebratulus_marginatus
GPAR,Gnathostomula_paradoxa
MACR,Macrodasys_sp.
MEGA,Megadasys_sp.
CLIN,Cephalothrix_linearis
TPO2,Tubulanus_polymorphus-Struck
CFOR,Crepidula_fornicata
LLAC,Lineus_lacteus
LLON,Lineus_longissimus
LRUB,Lineus_ruber
MEDU,Mytilus_edulis
SLES,Sepioteuthis_lessoniana
DGIG,Dosidicus_gigas
SESC,Sepia_esculenta
LRUG,Leptochiton_rugatus
MGRO,Malacobdella_grossa
PPER,Paranemertes_peregrina
GPYR,Glottidia_pyramidata
HPSI,Hemithiris_psittacea
LCAL,Laqueus_californicus
NANO,Novocrania_anomala
PPSA,Phoronis_psammophila
PVAN,Phoronis_vancouverensis
BGRA,Barentsia_gracilis
LPEC,Loxosoma_pectinaricola
PCAU,Priapulus_caudatus
TPO1,Tubulanus_polymorphus-Halanych
CGIG,Crassostrea_gigas
ACRA,Alexandromenia_crassa
ASUC,Alitta_virens
BPRO,Boccardia_proboscidea
CTOR,Clymenella_torquata
ETET,Entalina_tetragona
GDIB,Glycera_dibranchiata
GEBO,Graptacme_eborea
LASE,Leptochiton_asellus
LVIV,Loxosomella_cf._vivipara
MSCH,Macellomenia_schanderi
NCAR,Neomenia_carinata
NPER,Nuculana_pernula
PGOU,Pectinaria_gouldii
PCER,Pedicellina_cernua
PAGA,Phascolosoma_agassizii
PPUL,Phenacolepas_pulchella
PCAL,Prochaetoderma_californicum
SAGI,Sagitta_sp.
SCLE,Spathoderma_clenchi
SAME,Symbion_americanus
